DATE,GOLD_PRICE,GOLD_OPEN,GOLD_HIGH,GOLD_LOW,GOLD_CHANGE_%
7/6/1991,366.25,368.15,366.25,366.25,0.22
6/6/1991,365.45,365.65,365.45,365.45,0.83
5/6/1991,362.45,363.25,362.45,362.45,0.11
4/6/1991,362.05,363.35,362.05,362.05,-0.12
3/6/1991,362.5,364.25,362.5,362.5,0.28
31-05-1991,361.5,363.25,361.5,361.5,-0.33
30-05-1991,362.7,364.45,362.7,362.7,0.62
29-05-1991,360.45,363.15,360.45,360.45,-0.77
28-05-1991,363.25,364.55,363.25,363.25,1.86
27-05-1991,356.6,357.5,356.6,356.6,0.1
24-05-1991,356.25,356.79,356.25,356.25,0.37
23-05-1991,354.95,356.25,354.95,354.95,-0.2
22-05-1991,355.65,358.45,355.65,355.65,-0.31
21-05-1991,356.75,357.25,356.75,356.75,0.03
20-05-1991,356.65,357.55,356.65,356.65,0.54
17-05-1991,354.75,356.4,354.75,354.75,-0.39
16-05-1991,356.15,360.35,356.15,356.15,-0.92
15-05-1991,359.45,361.55,359.45,359.45,0.01
14-05-1991,359.4,360.45,359.4,359.4,0.32
13-05-1991,358.25,360.08,358.25,358.25,0.39
10/5/1991,356.85,358.05,356.85,356.85,-0.39
9/5/1991,358.25,358.25,358.25,358.25,0.27
8/5/1991,357.3,357.9,357.3,357.3,0.18
7/5/1991,356.65,357.85,356.65,356.65,0.39
6/5/1991,355.25,355.6,355.25,355.25,0.4
3/5/1991,353.85,357.25,353.85,353.85,-0.35
2/5/1991,355.1,356.45,355.1,355.1,-0.25
1/5/1991,356,358.55,356,356,-0.17
30-04-1991,356.6,359.45,356.6,356.6,1.23
29-04-1991,352.25,354.35,352.25,352.25,-0.45
26-04-1991,353.85,355,353.85,353.85,-0.03
25-04-1991,353.95,357,353.95,353.95,-0.56
24-04-1991,355.95,357.25,355.95,355.95,-0.18
23-04-1991,356.6,357.95,356.6,356.6,-0.18
22-04-1991,357.25,357.95,357.25,357.25,0.17
19-04-1991,356.65,357.65,356.65,356.65,-0.27
18-04-1991,357.6,362,357.6,357.6,-0.93
17-04-1991,360.95,362.25,360.95,360.95,0.24
16-04-1991,360.1,361.85,360.1,360.1,-0.12
15-04-1991,360.55,362.25,360.55,360.55,0.17
12/4/1991,359.95,362.85,359.95,359.95,-0.58
11/4/1991,362.05,363,362.05,362.05,-0.39
10/4/1991,363.45,364.75,363.45,363.45,-0.19
9/4/1991,364.15,365.45,364.15,364.15,0.91
8/4/1991,360.85,361.75,360.85,360.85,0.5
5/4/1991,359.05,360.05,359.05,359.05,0.15
4/4/1991,358.5,359.9,358.5,358.5,-0.25
3/4/1991,359.4,360.05,359.4,359.4,0.55
2/4/1991,357.45,359.25,357.45,357.45,-0.43
1/4/1991,359,359.25,359,359,0.96
29-03-1991,355.6,356.25,355.6,355.6,-0.27
28-03-1991,356.55,357.05,356.55,356.55,0.37
